fund,category,proposal,overall_score,votes_cast,yes,no,result,meets_approval_threshold,requested,status,reason_for_not_funded_status,challenge,unnamed:_6,unnamed:_4,unnamed:_2,fund_depletion,requested_$,unnamed:_1,unnamed:_3,reason_for_not_approved_status,requested_ada,abstain,unnamed:_5,fund_size:,approve
Fund10,OSDE Open Source Dev Ecosystem,Extending CENT Basic smart contracts repository (1-click deployment and open source),,152,17497703,125375726,-107878023,NO,,NOT FUNDED,Approval Threshold,,,,,29314,,,,,61320,,,,
Fund10,OSDE Open Source Dev Ecosystem,Cardanobi.io (Streaming API),,157,12552556,120659839,-108107283,NO,,NOT FUNDED,Approval Threshold,,,,,29314,,,,,99310,,,,
Fund10,OSDE Open Source Dev Ecosystem,Localized Resource Directory - Improved adoption in the West African/ African sub region,,154,13980514,122903243,-108922729,NO,,NOT FUNDED,Approval Threshold,,,,,29314,,,,,84400,,,,
Fund10,OSDE Open Source Dev Ecosystem,Aligning Incentives through Novel Social Value Token Models,,170,15620287,125090351,-109470064,NO,,NOT FUNDED,Approval Threshold,,,,,29314,,,,,75000,,,,
Fund10,OSDE Open Source Dev Ecosystem,Enabling Multi-Marketplace NFT Listings: A New Open-Standard for Cardano,,184,14561345,124417666,-109856321,NO,,NOT FUNDED,Approval Threshold,,,,,29314,,,,,95200,,,,
Fund10,OSDE Open Source Dev Ecosystem,Sequential Squares - Open Source Decentralized Music Publishing Tools Built for ADAO,,149,14841777,124909812,-110068035,NO,,NOT FUNDED,Approval Threshold,,,,,29314,,,,,93104,,,,
Fund10,OSDE Open Source Dev Ecosystem,Unified End-to-End Marketplace Transaction Library,,160,31218205,141803864,-110585659,NO,,NOT FUNDED,Approval Threshold,,,,,29314,,,,,90000,,,,
Fund10,OSDE Open Source Dev Ecosystem,Adagarms.com,,156,16990397,128270626,-111280229,NO,,NOT FUNDED,Approval Threshold,,,,,29314,,,,,44280,,,,
Fund10,OSDE Open Source Dev Ecosystem,Expand Key Crypt Library - Key Management Server Application,,152,9618309,121513088,-111894779,NO,,NOT FUNDED,Approval Threshold,,,,,29314,,,,,35000,,,,
Fund10,OSDE Open Source Dev Ecosystem,"Enigmi - an advanced open-source .Net solution delivering an enterprise-level platform for the minting, burning and real-time trading of NFTs. Facilitating online multiplayer engagement, gamification and social interaction, designed to perform at sca",,199,21364687,133552672,-112187985,NO,,NOT FUNDED,Approval Threshold,,,,,29314,,,,,280000,,,,
Fund10,OSDE Open Source Dev Ecosystem,Cardano Centers: Development of Worldwide Franchise Model & Open-source Management Platform,,229,31610359,144515364,-112905005,NO,,NOT FUNDED,Approval Threshold,,,,,29314,,,,,400000,,,,
Fund10,OSDE Open Source Dev Ecosystem,Val U Swap,,182,17205800,130820226,-113614426,NO,,NOT FUNDED,Approval Threshold,,,,,29314,,,,,199000,,,,
Fund10,OSDE Open Source Dev Ecosystem,On Demand Crypto Dictionary For Busy People,,243,21882734,135650670,-113767936,NO,,NOT FUNDED,Approval Threshold,,,,,29314,,,,,72200,,,,
Fund10,OSDE Open Source Dev Ecosystem,Preserving Heritage with Cardano: A Decentralized Cultural Knowledge Solution,,175,17312916,132225437,-114912521,NO,,NOT FUNDED,Approval Threshold,,,,,29314,,,,,150000,,,,
Fund10,OSDE Open Source Dev Ecosystem,Inkuba: Unlocking the full potential of French Speaking African youth Through Blockchain and Innovation,,158,12808846,127816805,-115007959,NO,,NOT FUNDED,Approval Threshold,,,,,29314,,,,,52500,,,,
Fund10,OSDE Open Source Dev Ecosystem,"""Exploring Multilingual Engagement Frameworks in Decentralized Blockchain Communities: A Case Study of the Cardano Catalyst Community""",,206,24419059,139983292,-115564233,NO,,NOT FUNDED,Approval Threshold,,,,,29314,,,,,199500,,,,
Fund10,OSDE Open Source Dev Ecosystem,Blockchain Explorer iFrame service,,145,7536524,123581095,-116044571,NO,,NOT FUNDED,Approval Threshold,,,,,29314,,,,,30000,,,,
Fund10,OSDE Open Source Dev Ecosystem,Token Engineering on Cardano: Step-by-step tutorials to design economic mechanisms,,196,16745922,134591342,-117845420,NO,,NOT FUNDED,Approval Threshold,,,,,29314,,,,,217830,,,,
Fund10,OSDE Open Source Dev Ecosystem,Summit Dubai TV Interviews,,191,11391472,129350008,-117958536,NO,,NOT FUNDED,Approval Threshold,,,,,29314,,,,,82200,,,,
Fund10,OSDE Open Source Dev Ecosystem,Open-Source NFT Swap Infrastructure: 1-Click Deployment Templates (Phase 2),,209,22081199,141231739,-119150540,NO,,NOT FUNDED,Approval Threshold,,,,,29314,,,,,225960,,,,
Fund10,OSDE Open Source Dev Ecosystem,BlockHome // Cardano Sustainable Modular Housing // Eco Habitat Revolution powered by @energiasocial,,161,4404296,124156525,-119752229,NO,,NOT FUNDED,Approval Threshold,,,,,29314,,,,,75000,,,,
Fund10,OSDE Open Source Dev Ecosystem,Sponsored Learning Program for next-generation smart-contract architecture with Stellar Contracts,,188,16136866,136614879,-120478013,NO,,NOT FUNDED,Approval Threshold,,,,,29314,,,,,169266,,,,
Fund10,OSDE Open Source Dev Ecosystem,"SupplyLedger: Decentralized Supply Chain Governance Protocol, Empowering Transparent and Efficient Supply Chains",,179,16901229,137405274,-120504045,NO,,NOT FUNDED,Approval Threshold,,,,,29314,,,,,250000,,,,
Fund10,OSDE Open Source Dev Ecosystem,Formando OSD en Ecosistema Cardano Forming OSD in Cardano Ecosystem,,182,20496486,141074861,-120578375,NO,,NOT FUNDED,Approval Threshold,,,,,29314,,,,,300000,,,,
Fund10,OSDE Open Source Dev Ecosystem,Open Source Strategy,,163,4917055,125517887,-120600832,NO,,NOT FUNDED,Approval Threshold,,,,,29314,,,,,56800,,,,
Fund10,OSDE Open Source Dev Ecosystem,Reusable Marketplace for any digital asset,,153,4702236,125430414,-120728178,NO,,NOT FUNDED,Approval Threshold,,,,,29314,,,,,72000,,,,
Fund10,OSDE Open Source Dev Ecosystem,potential-robot: an optimized developer experience,,169,6960776,128232255,-121271479,NO,,NOT FUNDED,Approval Threshold,,,,,29314,,,,,90000,,,,
Fund10,OSDE Open Source Dev Ecosystem,Empowering Individuals: A Decentralized Data Governance Marketplace for Personal Data Ownership and Control on Cardano Blockchain,,160,11703626,134093153,-122389527,NO,,NOT FUNDED,Approval Threshold,,,,,29314,,,,,73000,,,,
Fund10,OSDE Open Source Dev Ecosystem,CIP68 NFT Project minting and management tools,,170,7807147,130284757,-122477610,NO,,NOT FUNDED,Approval Threshold,,,,,29314,,,,,43656,,,,
Fund10,OSDE Open Source Dev Ecosystem,Cardano Resource Hub,,184,15192381,140135753,-124943372,NO,,NOT FUNDED,Approval Threshold,,,,,29314,,,,,285640,,,,
Fund10,OSDE Open Source Dev Ecosystem,Innovation Fund Research - Nodes and Connections,,184,4980424,130881537,-125901113,NO,,NOT FUNDED,Approval Threshold,,,,,29314,,,,,152324,,,,
Fund10,OSDE Open Source Dev Ecosystem,DLT360: Providing Project Catalyst with Actionable Regulatory Guidelines & Seminars for Staying Clear of Legal Trouble,,193,10036766,138069349,-128032583,NO,,NOT FUNDED,Approval Threshold,,,,,29314,,,,,175000,,,,
Fund10,OSDE Open Source Dev Ecosystem,OpenSource Branding & Marketing Toolkit for Cardano Projects,,207,8530874,139833050,-131302176,NO,,NOT FUNDED,Approval Threshold,,,,,29314,,,,,388000,,,,
Fund10,OSDE Open Source Dev Ecosystem,Ethic Code for Catalyst,,223,16529382,148364274,-131834892,NO,,NOT FUNDED,Approval Threshold,,,,,29314,,,,,295000,,,,
Fund10,OSDE Open Source Dev Ecosystem,KnowledgeLedger - An opensource decentralized Learning and Development Protocol empowering learning in the digital era,,194,8085670,140684987,-132599317,NO,,NOT FUNDED,Approval Threshold,,,,,29314,,,,,330000,,,,
Fund10,OSDE Open Source Dev Ecosystem,"Mobile Wallet (Non-custodial) - Bynet Wallet going open source [ReactNative frontend, backend, offchain, onchain]",,218,19814731,152892205,-133077474,NO,,NOT FUNDED,Approval Threshold,,,,,29314,,,,,420000,,,,
Fund10,OSDE Open Source Dev Ecosystem,Cardano PhD Lab: Pioneering Blockchain Research for the Future,,224,12811895,149088813,-136276918,NO,,NOT FUNDED,Approval Threshold,,,,,29314,,,,,250000,,,,
Fund10,OSDE Open Source Dev Ecosystem,[C2VN]: Marlowe- Everyone can code smart contract,,295,24616450,164561386,-139944936,NO,,NOT FUNDED,Approval Threshold,,,,,29314,,,,,233600,,,,
Fund10,OSDE Open Source Dev Ecosystem,"Harnessing AI, the Internet, Web3 and Blockchain to Power Innovation in Kwame Ntow, Ghana: A Pilot Project.",,240,20795216,164668806,-143873590,NO,,NOT FUNDED,Approval Threshold,,,,,29314,,,,,630000,,,,
Fund10,OSDE Open Source Dev Ecosystem,dHood: The Future of Secure and Inclusive Communication,,283,17077434,161982902,-144905468,NO,,NOT FUNDED,Approval Threshold,,,,,29314,,,,,275000,,,,
Fund10,OSDE Open Source Dev Ecosystem,ResearchLedger : Transforming Research and Development through Decentralization,,269,14138286,160852414,-146714128,NO,,NOT FUNDED,Approval Threshold,,,,,29314,,,,,221000,,,,
Fund10,OSDE Open Source Dev Ecosystem,Open Source Car-Connect,,683,24669482,256296004,-231626522,NO,,NOT FUNDED,Approval Threshold,,,,,29314,,,,,90000,,,,
Fund10,OSDE Open Source Dev Ecosystem,Open Source Mobility and Transportation Wallet,,766,15935031,282661598,-266726567,NO,,NOT FUNDED,Approval Threshold,,,,,29314,,,,,800000,,,,
Fund10,SPO Tools & Community Projects,Open source PoolTool.io and sustain for 1 year,,502,380289728,5022544,375267184,YES,,FUNDED,,,,,,4662600,,,,,75000,,,,
Fund10,SPO Tools & Community Projects,Pool.pm Visual Explorer - Open Source Improved Reboot towards a sustainable community innovation platform,,821,369678010,11189130,358488880,YES,,FUNDED,,,,,,4262900,,,,,399700,,,,
Fund10,SPO Tools & Community Projects,Powering onchain game functionality using Cardano stakepools,,856,490959059,142479592,348479467,YES,,FUNDED,,,,,,3362900,,,,,900000,,,,
Fund10,SPO Tools & Community Projects,SPO JAPAN GUILD - Continued operation of the Japanese SPO community,,630,453953030,123264131,330688899,YES,,FUNDED,,,,,,3109650,,,,,253250,,,,
Fund10,SPO Tools & Community Projects,MLabs - SPO-anywhere - Easy Stake Pool Deployment with NixOS,,493,343022672,44386186,298636486,YES,,FUNDED,,,,,,2822390,,,,,287260,,,,
Fund10,SPO Tools & Community Projects,Blocklog linked Leader status and Epoch leader notification service - Multilingual Support and Maintenance.,,508,391777970,108187325,283590645,YES,,FUNDED,,,,,,2741870,,,,,80520,,,,
Fund10,SPO Tools & Community Projects,SJG TOOLS V2 - Stake Pool Setup & Operation TUI Tool in Japanese,,552,406382979,125138105,281244874,YES,,FUNDED,,,,,,2524370,,,,,217500,,,,
Fund10,SPO Tools & Community Projects,StakePoolOperator Scripts (SPO Scripts) - New Features / Updates,,495,286053828,11726970,274326858,YES,,FUNDED,,,,,,2482370,,,,,42000,,,,
Fund10,SPO Tools & Community Projects,"Koios SPO Tools development (CNTools, gLiveView, topologyUpdater)",,487,327066212,89658319,237407893,YES,,FUNDED,,,,,,2422370,,,,,60000,,,,
Fund10,SPO Tools & Community Projects,Decentralized Demeter.run - Federated Frontend Hosting - New revenue stream for SPOs,,561,313181602,102371708,210809894,YES,,FUNDED,,,,,,2014513,,,,,407857,,,,
Fund10,SPO Tools & Community Projects,New SPO revenue streams for securing bridge infrastructure,,635,305542482,137772542,167769940,YES,,FUNDED,,,,,,1164513,,,,,850000,,,,
Fund10,SPO Tools & Community Projects,Customizable Staking Baskets Platform - Incentivizing Cardano's Decentralization,,293,146066285,33154415,112911870,YES,,FUNDED,,,,,,864513,,,,,300000,,,,
Fund10,SPO Tools & Community Projects,Pool Monitoring Statistics Portal,,295,122598524,38244912,84353612,YES,,FUNDED,,,,,,815513,,,,,49000,,,,
Fund10,SPO Tools & Community Projects,Cardano explorer improvements (Cexplorer.io),,322,164253826,95336635,68917191,YES,,FUNDED,,,,,,616913,,,,,198600,,,,
Fund10,SPO Tools & Community Projects,Stakepool Metadata Hosting Service,,216,108084966,41437681,66647285,YES,,FUNDED,,,,,,567913,,,,,49000,,,,
Fund10,SPO Tools & Community Projects,Cardano Mempool Explorer,,330,155766657,102200009,53566648,YES,,FUNDED,,,,,,467913,,,,,100000,,,,
Fund10,SPO Tools & Community Projects,Catalyst Turbo - Community Catalyst Infrastructure Experiments,,264,127695404,97173053,30522351,NO,,NOT FUNDED,Approval Threshold,,,,,467913,,,,,192000,,,,
Fund10,SPO Tools & Community Projects,Optim+Maestro ISPO Integration and Education Initiative,,307,141636446,115484503,26151943,NO,,NOT FUNDED,Approval Threshold,,,,,467913,,,,,148500,,,,
Fund10,SPO Tools & Community Projects,"Optim SPO Bonds - a new, market-driven method to bootstrap pools",,281,131869532,111734336,20135196,NO,,NOT FUNDED,Approval Threshold,,,,,467913,,,,,200000,,,,
Fund10,SPO Tools & Community Projects,SPO Community Polling platform,,210,37866782,27946712,9920070,YES,,FUNDED,,,,,,437913,,,,,30000,,,,
Fund10,SPO Tools & Community Projects,Empowering Cardano ecosystem by the communication protocol bridging the global and local Cardano ecosystems,,236,105711475,119308622,-13597147,NO,,NOT FUNDED,Approval Threshold,,,,,437913,,,,,127286,,,,
Fund10,SPO Tools & Community Projects,Cardano Media,,201,23864559,50724535,-26859976,NO,,NOT FUNDED,Approval Threshold,,,,,437913,,,,,19500,,,,
Fund10,SPO Tools & Community Projects,Onboard Ethereum users - Cardano and Ethereum consensus mechanism comparison educational resources in Spanish,,169,12845734,43056228,-30210494,NO,,NOT FUNDED,Approval Threshold,,,,,437913,,,,,15400,,,,
Fund10,SPO Tools & Community Projects,SPO Campaign in Communities,,171,12928365,43615478,-30687113,NO,,NOT FUNDED,Approval Threshold,,,,,437913,,,,,24600,,,,
Fund10,SPO Tools & Community Projects,CCC: CARDANO CONQUERS COPENHAGEN,,153,13707799,44801632,-31093833,NO,,NOT FUNDED,Approval Threshold,,,,,437913,,,,,35000,,,,
Fund10,SPO Tools & Community Projects,Cardano Community Meetup Series,,170,16514571,50779050,-34264479,NO,,NOT FUNDED,Approval Threshold,,,,,437913,,,,,27000,,,,
Fund10,SPO Tools & Community Projects,"Packaging Cardano-Node for Guix, A Functional Package Manger",,143,13953643,48714454,-34760811,NO,,NOT FUNDED,Approval Threshold,,,,,437913,,,,,18000,,,,
Fund10,SPO Tools & Community Projects,Pop up Cafe - A place for the community to meet the community.,,153,6079739,41322525,-35242786,NO,,NOT FUNDED,Approval Threshold,,,,,437913,,,,,30000,,,,
Fund10,SPO Tools & Community Projects,Empowering Collaborative Stake Pools with Automated Reward Distribution,,238,65766912,101864360,-36097448,NO,,NOT FUNDED,Approval Threshold,,,,,437913,,,,,36520,,,,
Fund10,SPO Tools & Community Projects,"Wieczorowa Pora - Spaces, podcasts & YT focused on Cardano Community & SPOs",,150,10598178,51517767,-40919589,NO,,NOT FUNDED,Approval Threshold,,,,,437913,,,,,24000,,,,
Fund10,SPO Tools & Community Projects,⚡Turbo Powered Dubai Cardano Community Social Meet Ups 🔥,,175,3542650,47298583,-43755933,NO,,NOT FUNDED,Approval Threshold,,,,,437913,,,,,24600,,,,
Fund10,SPO Tools & Community Projects,"Public list of SPO groups (json,csv)",,174,61934775,106447009,-44512234,NO,,NOT FUNDED,Approval Threshold,,,,,437913,,,,,110000,,,,
Fund10,SPO Tools & Community Projects,"Pre-Summit Dubai ""I'm On A Boat"" Memorable Event",,169,5618332,54475195,-48856863,NO,,NOT FUNDED,Approval Threshold,,,,,437913,,,,,37500,,,,
Fund10,SPO Tools & Community Projects,Cardano SPO Club for non-English speaker,,249,66207924,119964340,-53756416,NO,,NOT FUNDED,Approval Threshold,,,,,437913,,,,,82341,,,,
Fund10,SPO Tools & Community Projects,Easy onboarding of ADA holders to SPOs,,249,64754311,120636720,-55882409,NO,,NOT FUNDED,Approval Threshold,,,,,437913,,,,,141000,,,,
Fund10,SPO Tools & Community Projects,Stakepool Uptime Monitoring and Health-Check Portal,,279,52387727,108494043,-56106316,NO,,NOT FUNDED,Approval Threshold,,,,,437913,,,,,249000,,,,
Fund10,SPO Tools & Community Projects,Facilitating SPO Travel & Media Production at High Value Blockchain Events Worldwide,,251,31615432,89541507,-57926075,NO,,NOT FUNDED,Approval Threshold,,,,,437913,,,,,875000,,,,
Fund10,SPO Tools & Community Projects,Cardano Node Management Tool,,181,40517652,102496560,-61978908,NO,,NOT FUNDED,Approval Threshold,,,,,437913,,,,,149600,,,,
Fund10,SPO Tools & Community Projects,"HAZELnet.io - Social Connectivity for Stakepool Operators, Delegators and Communities",,204,48965172,115384641,-66419469,NO,,NOT FUNDED,Approval Threshold,,,,,437913,,,,,155000,,,,
Fund10,SPO Tools & Community Projects,SPOUSE: Open and Self-hosted SPO Security Evaluation Tool,,213,38709139,108704052,-69994913,NO,,NOT FUNDED,Approval Threshold,,,,,437913,,,,,186789,,,,
Fund10,SPO Tools & Community Projects,Cardano Vietnam SPO Association,,252,57510922,127687726,-70176804,NO,,NOT FUNDED,Approval Threshold,,,,,437913,,,,,97468,,,,
Fund10,SPO Tools & Community Projects,45B - SPO Spotter - Delegation suggester based on Open Source interchangeable algorithms to rank Stake Pools,,180,39270614,110907906,-71637292,NO,,NOT FUNDED,Approval Threshold,,,,,437913,,,,,51300,,,,
Fund10,SPO Tools & Community Projects,Cardano Xcard - Digital Business Card exclusively for Cardano Fans,,194,44484830,116725910,-72241080,NO,,NOT FUNDED,Approval Threshold,,,,,437913,,,,,97000,,,,
Fund10,SPO Tools & Community Projects,Community Education Initiative: Strengthening Cardano Through Knowledge,,215,42505912,124705411,-82199499,NO,,NOT FUNDED,Approval Threshold,,,,,437913,,,,,113000,,,,
Fund10,SPO Tools & Community Projects,SPOs awareness and education in the French-speaking community of Cardano with Edustake,,168,25916217,109115096,-83198879,NO,,NOT FUNDED,Approval Threshold,,,,,437913,,,,,44522,,,,
Fund10,SPO Tools & Community Projects,Asia Stakepool Alliance,,185,28700463,111911220,-83210757,NO,,NOT FUNDED,Approval Threshold,,,,,437913,,,,,116000,,,,
Fund10,SPO Tools & Community Projects,Impact SPOs - Accountable and Verified!,,188,39470964,122703724,-83232760,NO,,NOT FUNDED,Approval Threshold,,,,,437913,,,,,144800,,,,
Fund10,SPO Tools & Community Projects,Basic smart contracts for SPO campaigns and events (1-click deployment and open-source),,150,17024176,103167602,-86143426,NO,,NOT FUNDED,Approval Threshold,,,,,437913,,,,,54120,,,,
Fund10,SPO Tools & Community Projects,Community outreach program on Cardano blockchain technology education in Nigeria,,156,35488661,121659640,-86170979,NO,,NOT FUNDED,Approval Threshold,,,,,437913,,,,,75000,,,,
Fund10,SPO Tools & Community Projects,Africa Stakepool Academy | Securing The Network,,219,31881299,118437755,-86556456,NO,,NOT FUNDED,Approval Threshold,,,,,437913,,,,,260000,,,,
Fund10,SPO Tools & Community Projects,Cardano Guide - A one-stop guide,,173,30442770,119218126,-88775356,NO,,NOT FUNDED,Approval Threshold,,,,,437913,,,,,68207,,,,
Fund10,SPO Tools & Community Projects,"Central Information Hub with Crowdsourced Onboarding and Education, with an Open-Source Robust Freelance Platform designed for SPO community engagement.",,172,33861901,122788890,-88926989,NO,,NOT FUNDED,Approval Threshold,,,,,437913,,,,,330000,,,,
Fund10,SPO Tools & Community Projects,Risk Monitor for SPOs,,221,33548550,124131704,-90583154,NO,,NOT FUNDED,Approval Threshold,,,,,437913,,,,,279586,,,,
Fund10,SPO Tools & Community Projects,Auto Stake Pool Setup - Pocket Pool,,233,29624284,120374952,-90750668,NO,,NOT FUNDED,Approval Threshold,,,,,437913,,,,,100000,,,,
Fund10,SPO Tools & Community Projects,Cardano Over Coffee - Brewing Success for the Cardano Community by Empowering SPOs and Builders,,334,43627831,136460992,-92833161,NO,,NOT FUNDED,Approval Threshold,,,,,437913,,,,,333333,,,,
Fund10,SPO Tools & Community Projects,SPO 4 Life,,186,20177547,113416286,-93238739,NO,,NOT FUNDED,Approval Threshold,,,,,437913,,,,,63020,,,,
Fund10,SPO Tools & Community Projects,"SPOs Spanish Community - Workshops, Webinars, Events and Networking, fostering the development and evolution of the ecosystem with personalized support and education to operators and developers.",,181,22922750,117060704,-94137954,NO,,NOT FUNDED,Approval Threshold,,,,,437913,,,,,150000,,,,
Fund10,SPO Tools & Community Projects,Subbit.xyz : Featherweight channels for pay-as-you-go subscriptions & first plugin with Dandelion.,,180,24825921,119115853,-94289932,NO,,NOT FUNDED,Approval Threshold,,,,,437913,,,,,242500,,,,
Fund10,SPO Tools & Community Projects,SPO Online Business Academy,,250,44010330,139352505,-95342175,NO,,NOT FUNDED,Approval Threshold,,,,,437913,,,,,278682,,,,
Fund10,SPO Tools & Community Projects,Delegate polling and voting mechanisms for SPOs,,189,18909459,117147962,-98238503,NO,,NOT FUNDED,Approval Threshold,,,,,437913,,,,,50820,,,,
Fund10,SPO Tools & Community Projects,SPOPatrons.io - A SPO Patrons Management Portal,,163,18340141,117525950,-99185809,NO,,NOT FUNDED,Approval Threshold,,,,,437913,,,,,62896,,,,
Fund10,SPO Tools & Community Projects,AdaLink: Affiliate Network for SPO Growth,,257,38012463,137431499,-99419036,NO,,NOT FUNDED,Approval Threshold,,,,,437913,,,,,240000,,,,
Fund10,SPO Tools & Community Projects,ALDEA NFT Marketplace V2,,209,26973187,126470033,-99496846,NO,,NOT FUNDED,Approval Threshold,,,,,437913,,,,,210000,,,,
Fund10,SPO Tools & Community Projects,"ISPO Center - Aggregator, reviews, tech & marketing support in running ISPOs",,153,17076779,116979269,-99902490,NO,,NOT FUNDED,Approval Threshold,,,,,437913,,,,,147667,,,,
Fund10,SPO Tools & Community Projects,Enabling Caribbean Creativity: Building the Creator Economy with Cardano,,169,15820471,116843090,-101022619,NO,,NOT FUNDED,Approval Threshold,,,,,437913,,,,,50000,,,,
Fund10,SPO Tools & Community Projects,Impact Measurement of SPOs,,170,14233116,115486769,-101253653,NO,,NOT FUNDED,Approval Threshold,,,,,437913,,,,,75000,,,,
Fund10,SPO Tools & Community Projects,CatalystCon 2023 | SPO Spotlight,,167,15058851,116639881,-101581030,NO,,NOT FUNDED,Approval Threshold,,,,,437913,,,,,84000,,,,
Fund10,SPO Tools & Community Projects,TADAStake - A Distribution Platform,,152,7334120,108938081,-101603961,NO,,NOT FUNDED,Approval Threshold,,,,,437913,,,,,73000,,,,
Fund10,SPO Tools & Community Projects,Cardano Network Mixers: Bridging SPOs with High Net Worth Entrepreneurs,,172,15648162,118379463,-102731301,NO,,NOT FUNDED,Approval Threshold,,,,,437913,,,,,140000,,,,
Fund10,SPO Tools & Community Projects,Cardano Stake Pool Owner Behavior - Academic Research,,202,23671572,126753035,-103081463,NO,,NOT FUNDED,Approval Threshold,,,,,437913,,,,,50000,,,,
Fund10,SPO Tools & Community Projects,SPO Interview Channel - SPO's Voice Need To Be Heard,,152,11827309,115547226,-103719917,NO,,NOT FUNDED,Approval Threshold,,,,,437913,,,,,60000,,,,
Fund10,SPO Tools & Community Projects,MAV100: Opening access of the Cardano Blockchain to students through our Stake Pool Incubator Program.,,186,20387630,124735130,-104347500,NO,,NOT FUNDED,Approval Threshold,,,,,437913,,,,,290000,,,,
Fund10,SPO Tools & Community Projects,"Harmonie NFT Galerie: Physical Gallery & Digital Signage Solutions in Shopping Malls for Cardano NFTs: artists, advertisements, and more",,157,14736716,119381372,-104644656,NO,,NOT FUNDED,Approval Threshold,,,,,437913,,,,,75000,,,,
Fund10,SPO Tools & Community Projects,cardaSCAN.io - A community-funded stake pool vulnerability scanning service,,277,43676258,149181812,-105505554,NO,,NOT FUNDED,Approval Threshold,,,,,437913,,,,,676250,,,,
Fund10,SPO Tools & Community Projects,"Unistake - Open Source Staking Subscription Model: Empowering Community through Decentralized Monetization""",,237,52711574,158541961,-105830387,NO,,NOT FUNDED,Approval Threshold,,,,,437913,,,,,990000,,,,
Fund10,SPO Tools & Community Projects,KALYX.IO - The Leveraged dCFD Contracts Platform on Cardano,,154,14271536,120995811,-106724275,NO,,NOT FUNDED,Approval Threshold,,,,,437913,,,,,75000,,,,
Fund10,SPO Tools & Community Projects,"Cardano's Exhibition at 6 Blockchain Events in 6 Countries in Latin America powered by Community - Brazil, Argentina, Mexico, Colombia, Venezuela and Uruguay - LATAM",,268,16552032,126826253,-110274221,NO,,NOT FUNDED,Approval Threshold,,,,,437913,,,,,397607,,,,
Fund10,SPO Tools & Community Projects,SPO - Pool Backup and Disaster Recovery,,196,13651461,124213548,-110562087,NO,,NOT FUNDED,Approval Threshold,,,,,437913,,,,,350000,,,,
Fund10,SPO Tools & Community Projects,Fund Raising With SPO Model Platform for Artist (And Anyone),,177,13838998,125034417,-111195419,NO,,NOT FUNDED,Approval Threshold,,,,,437913,,,,,236417,,,,
Fund10,SPO Tools & Community Projects,Cardano Lounge by BrazilPool - A Cardano Dedicated Coworking and Events Venue in SĂŁo Paulo,,172,12433572,127669602,-115236030,NO,,NOT FUNDED,Approval Threshold,,,,,437913,,,,,213495,,,,
Fund10,SPO Tools & Community Projects,"The path to minting more blocks in Africa, For a more resilient Cardano protocol.",,258,35079054,150333816,-115254762,NO,,NOT FUNDED,Approval Threshold,,,,,437913,,,,,400000,,,,
Fund10,SPO Tools & Community Projects,Africa Stakepool Alliance,,221,20991250,139685451,-118694201,NO,,NOT FUNDED,Approval Threshold,,,,,437913,,,,,116000,,,,
Fund10,SPO Tools & Community Projects,Delegation gate (login) for popular web frameworks,,163,9082271,136667459,-127585188,NO,,NOT FUNDED,Approval Threshold,,,,,437913,,,,,245000,,,,
Fund10,SPO Tools & Community Projects,Development in pavia_io metaverse / 3D animation lets FURTHER blurr the lines of the METAverse and reality. we are continually pushing the boundries of what can and cannot be done! while working every job i can find to pay for progress.,,171,15721453,144776778,-129055325,NO,,NOT FUNDED,Approval Threshold,,,,,437913,,,,,48000,,,,
Fund10,SPO Tools & Community Projects,Delegator loyalty contract at stakepool reward address,,166,10149108,140578069,-130428961,NO,,NOT FUNDED,Approval Threshold,,,,,437913,,,,,175000,,,,
Fund10,SPO Tools & Community Projects,SPO Relay Node Security - Vulnerability Assessment of Relay Node Security,,297,31432766,179432645,-147999879,NO,,NOT FUNDED,Approval Threshold,,,,,437913,,,,,1045454,,,,
Fund10,SPO Tools & Community Projects,"SAPA' no more - educating Nigerian creatives about SPO and Project Catalyst through web3 accelerator and music festival in Lagos, Nigeria.",,211,13119954,164208149,-151088195,NO,,NOT FUNDED,Approval Threshold,,,,,437913,,,,,500000,,,,
Fund10,Developer Ecosystem - The Evolu,Provide multiple templates on how to write apps and games for the Cardano ecosystem using Paima,,770,490867175,123057958,367809217,YES,,FUNDED,,,,,,5866800,,,,,450000,,,,
Fund10,Developer Ecosystem - The Evolu,MLabs - Cardano-Transaction-Library Evolution,,470,400791352,34358984,366432368,YES,,FUNDED,,,,,,5640610,,,,,226190,,,,
Fund10,Developer Ecosystem - The Evolu,MLabs - Cardano Onchain Languages Benchmark,,447,404067155,42300919,361766236,YES,,FUNDED,,,,,,5369180,,,,,271430,,,,
Fund10,Developer Ecosystem - The Evolu,"MLabs - LambdaBuffers (was Cardano dApp schemas) code generation backends for Rust, Javascript and Aiken",,411,369210816,14205691,355005125,YES,,FUNDED,,,,,,5108609,,,,,260571,,,,
Fund10,Developer Ecosystem - The Evolu,MLabs - Browser-based Wallet for Developers & Testers,,380,336002052,28714072,307287980,YES,,FUNDED,,,,,,4857539,,,,,251070,,,,
Fund10,Developer Ecosystem - The Evolu,MLabs - Cardano Game Engine Wallet - Godot Integration,,439,350790306,54029377,296760929,YES,,FUNDED,,,,,,4310159,,,,,547380,,,,
Fund10,Developer Ecosystem - The Evolu,Scrolls - Develop and deploy Custom GraphQL chain indexes,,452,239860607,8329911,231530696,YES,,FUNDED,,,,,,4102302,,,,,207857,,,,
