Fund,Proposal,Challenge,Link,Overall score,Votes cast,YES,ABSTAIN,NO,Result,Meets approval threshold,REQUESTED,STATUS,FUND DEPLETION,Reason for not funded status,Category,Ccy,proposal_id,URL,No. Assessments,# valid reviews,"# allocated
(out of valid)",% of valid,"% of allocated
(out of valid)","Impact
score","Feasibility
score","Value for money
score"
Fund11,"Cardano Ecosystem : Smart Contract Languages LIve Support(Oxygen), Documentation and Adoption",Cardano Open: Ecosystem,https://projectcatalyst.io/funds/11/cardano-open-ecosystem/cardano-ecosystem-smart-contract-languages-live-supportoxygen-documentation-and-adoption,4.08,247,56483256,7340964,0,56483256,YES,96900,FUNDED,3849070,,Cardano Open Ecosystem,ADA,112227,https://app.ideascaleapp.eu/t/UCNZfJx,43,33,32,76.74%,96.97%,4.38,4.05,3.8
Fund11,Cardano ecosystem get a physical and mental healthier with yoga,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/11/cardano-open-ecosystem/cardano-ecosystem-get-a-physical-and-mental-healthier-with-yoga-ecba5,3.22,210,15201634,21689109,0,15201634,NO,21495,NOT FUNDED,1389022,Approval Threshold,Cardano Open Ecosystem,ADA,114347,https://app.ideascaleapp.eu/t/UCNZfti,61,46,38,75.41%,82.61%,3.2,3.38,3.07
Fund11,"Cardano Education & Onboarding For Technical Schools in Ghana: Awareness For Technical, Vocational, Computer and Information Technology based schools",Cardano Open: Ecosystem,https://projectcatalyst.io/funds/11/cardano-open-ecosystem/cardano-education-and-onboarding-for-technical-schools-in-ghana-awareness-for-technical-vocational-computer-and-information-technology-based-schools,4.09,249,41995455,12280950,0,41995455,NO,36000,NOT FUNDED,1389022,Approval Threshold,Cardano Open Ecosystem,ADA,110037,https://app.ideascaleapp.eu/t/UCNZej3,121,92,49,76.03%,53.26%,4.18,4.05,4.04
Fund11,Cardano educational platform for spanish speakers,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/11/cardano-open-ecosystem/cardano-educational-platform-for-spanish-speakers,3.26,254,39406174,11363653,0,39406174,NO,30000,NOT FUNDED,1389022,Approval Threshold,Cardano Open Ecosystem,ADA,113657,https://app.ideascaleapp.eu/t/UCNZfiO,54,36,33,66.67%,91.67%,3.59,3.1,3.08
Fund11,Cardano Explorers: Explore the Cardano Ecosystem with Videos,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/11/cardano-open-ecosystem/cardano-explorers-explore-the-cardano-ecosystem-with-videos,3.65,212,25296731,11759424,0,25296731,NO,20790,NOT FUNDED,1389022,Approval Threshold,Cardano Open Ecosystem,ADA,111638,https://app.ideascaleapp.eu/t/UCNZfAI,60,46,43,76.67%,93.48%,3.66,3.7,3.6
Fund11,CARDANO FLYER,Cardano Use Cases: Concept,https://projectcatalyst.io/funds/11/cardano-use-cases-concept/cardano-flyer-science-and-technology-commnity,2.67,301,29120341,13288310,0,29120341,NO,21745,NOT FUNDED,947140,Approval Threshold,Cardano Use Cases Concept,ADA,113431,https://app.ideascaleapp.eu/t/UCNZfeh,57,42,38,73.68%,90.48%,2.84,2.69,2.48
Fund11,"Cardano for 100,000+ students",Cardano Open: Ecosystem,https://projectcatalyst.io/funds/11/cardano-open-ecosystem/cardano-for-100000-students,4.32,356,91226964,14354317,0,91226964,YES,75000,FUNDED,7320935,,Cardano Open Ecosystem,ADA,110104,https://app.ideascaleapp.eu/t/UCNZek9,107,72,25,67.29%,34.72%,4.41,4.28,4.27
Fund11,Cardano for Good - a dApp Fundraising Platform for Social Good Projects,Cardano Use Cases: Concept,https://projectcatalyst.io/funds/11/cardano-use-cases-concept/cardano-for-good-a-dapp-fundraising-platform-for-social-good-projects,3.68,341,56507157,18029785,0,56507157,YES,100000,FUNDED,3079814,,Cardano Use Cases Concept,ADA,114574,https://app.ideascaleapp.eu/t/UCNZfxQ,64,46,32,71.88%,69.57%,3.81,3.73,3.51
Fund11,Cardano For Indonesia (CFI): From Universitas Gadjah Mada to Yogyakarta,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/11/cardano-open-ecosystem/cardano-for-indonesia-cfi-from-universitas-gadjah-mada-to-yogyakarta,4.09,232,43806923,11092823,0,43806923,NO,28500,NOT FUNDED,1389022,Approval Threshold,Cardano Open Ecosystem,ADA,114518,https://app.ideascaleapp.eu/t/UCNZfwV,67,50,30,74.63%,60.00%,4.31,4.01,3.96
Fund11,Cardano for Leos,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/11/cardano-open-ecosystem/cardano-for-leos,3.96,211,22557266,15834421,0,22557266,NO,29650,NOT FUNDED,1389022,Approval Threshold,Cardano Open Ecosystem,ADA,112096,https://app.ideascaleapp.eu/t/UCNZfHo,60,46,41,76.67%,89.13%,4.1,3.98,3.81
Fund11,Cardano for STEM Brazilian Students,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/11/cardano-open-ecosystem/cardano-for-stem-brazilian-students-8944f,3.9,251,42158504,9264176,0,42158504,NO,59800,NOT FUNDED,1389022,Approval Threshold,Cardano Open Ecosystem,ADA,112563,https://app.ideascaleapp.eu/t/UCNZfPS,54,40,37,74.07%,92.50%,4.33,3.83,3.53
Fund11,Cardano For the M₳sses: Age of Voltaire Edition.,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/11/cardano-open-ecosystem/cardano-for-the-maustralsses-age-of-voltaire-edition,4.3,298,62235662,7236533,0,62235662,YES,19461,FUNDED,5140091,,Cardano Open Ecosystem,ADA,110822,https://app.ideascaleapp.eu/t/UCNZewv,66,44,33,66.67%,75.00%,4.25,4.41,4.25
Fund11,Cardano Forest [blocktree.asia] - Foster Trust & Trackability in Reforestation,Cardano Use Cases: Solution,https://projectcatalyst.io/funds/11/cardano-use-cases-solution/cardano-forest-blocktreeasia-foster-trust-and-trackability-in-reforestation-00be3,4.25,345,53319235,21063478,0,53319235,YES,72433,NOT FUNDED,61676,Over Budget,Cardano Use Cases Solution,ADA,112948,https://app.ideascaleapp.eu/t/UCNZfVm,62,49,40,79.03%,81.63%,4.37,4.25,4.12
Fund11,Cardano Gaming DiD,Cardano Use Cases: Product,https://projectcatalyst.io/funds/11/cardano-use-cases-product/cardano-gaming-did,3.62,352,26224604,30088957,0,26224604,NO,650000,NOT FUNDED,27529,Approval Threshold,Cardano Use Cases Product,ADA,114540,https://app.ideascaleapp.eu/t/UCNZfws,66,48,42,72.73%,87.50%,3.99,3.63,3.25
Fund11,Cardano Guide - A one-stop guide for everyone.,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/11/cardano-open-ecosystem/cardano-guide-a-one-stop-guide-for-everyone,3.67,213,22468791,13252487,0,22468791,NO,68207,NOT FUNDED,1389022,Approval Threshold,Cardano Open Ecosystem,ADA,114134,https://app.ideascaleapp.eu/t/UCNZfqD,62,47,41,75.81%,87.23%,3.8,3.65,3.57
Fund11,Cardano Hackathon in Argentina,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/11/cardano-open-ecosystem/cardano-hackathon-in-argentina-0ab44,4.08,331,68187054,8544323,0,68187054,YES,100000,FUNDED,5731435,,Cardano Open Ecosystem,ADA,113784,https://app.ideascaleapp.eu/t/UCNZfkT,63,45,43,71.43%,95.56%,4.35,4.27,3.61
Fund11,Cardano Hackathon in Berlin organized by NMKR,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/11/cardano-open-ecosystem/cardano-hackathon-in-berlin-organized-by-nmkr,3.48,477,80045409,20241951,0,80045409,YES,200000,FUNDED,6417951,,Cardano Open Ecosystem,ADA,114116,https://app.ideascaleapp.eu/t/UCNZfpv,57,43,42,75.44%,97.67%,3.58,3.57,3.3
Fund11,Cardano House | RNC & DNC 2024 Policy & Education Centers (Awen),Cardano Open: Ecosystem,https://projectcatalyst.io/funds/11/cardano-open-ecosystem/cardano-house-or-rnc-and-dnc-2024-policy-and-education-centers-awen,4.04,223,47612429,18790830,0,47612429,YES,180000,FUNDED,1999675,,Cardano Open Ecosystem,ADA,113819,https://app.ideascaleapp.eu/t/UCNZfk3,53,40,39,75.47%,97.50%,4.3,4.08,3.75
Fund11,Cardano Hub at the edge of civilization,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/11/cardano-open-ecosystem/cardano-hub-at-the-edge-of-civilization,3.4,201,23679280,11818305,0,23679280,NO,49888,NOT FUNDED,1389022,Approval Threshold,Cardano Open Ecosystem,ADA,112888,https://app.ideascaleapp.eu/t/UCNZfUn,43,30,30,69.77%,100.00%,3.67,3.17,3.37
Fund11,Cardano HUB for businesses and developers in Eastern Europe,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/11/cardano-open-ecosystem/cardano-hub-for-businesses-and-developers-in-eastern-europe,3.69,237,37545085,17534308,0,37545085,NO,199900,NOT FUNDED,1389022,Approval Threshold,Cardano Open Ecosystem,ADA,113385,https://app.ideascaleapp.eu/t/UCNZfdw,54,39,39,72.22%,100.00%,4.03,3.54,3.49
Fund11,CARDANO HUB MY (Malaysia),Cardano Open: Ecosystem,https://projectcatalyst.io/funds/11/cardano-open-ecosystem/cardano-hub-my-malaysia,3.8,206,35820725,9883287,0,35820725,NO,75000,NOT FUNDED,1389022,Approval Threshold,Cardano Open Ecosystem,ADA,112294,https://app.ideascaleapp.eu/t/UCNZfK3,49,35,34,71.43%,97.14%,4.11,3.71,3.59
Fund11,Cardano Impact Tracking Hub,Cardano Open: Developers,https://projectcatalyst.io/funds/11/cardano-open-developers/cardano-impact-tracking-hub,3.82,239,48317338,16288017,0,48317338,YES,23500,NOT FUNDED,8153,Over Budget,Cardano Open Developers,ADA,113297,https://app.ideascaleapp.eu/t/UCNZfcU,54,38,33,70.37%,86.84%,3.87,3.74,3.85
Fund11,"Cardano in 5 Minutes: Deep Understanding, Smart Investing, Time Saved, Money Made",Cardano Open: Ecosystem,https://projectcatalyst.io/funds/11/cardano-open-ecosystem/cardano-in-5-minutes-deep-understanding-smart-investing-time-saved-money-made,4.04,248,34622624,12338622,0,34622624,NO,144839,NOT FUNDED,1389022,Approval Threshold,Cardano Open Ecosystem,ADA,110114,https://app.ideascaleapp.eu/t/UCNZelJ,99,70,40,70.71%,57.14%,4.17,4.05,3.91
Fund11,Cardano in MetaMask,Cardano Use Cases: Solution,https://projectcatalyst.io/funds/11/cardano-use-cases-solution/cardano-in-metamask,4.05,892,301304959,31284985,0,301304959,YES,202105,FUNDED,7297895,,Cardano Use Cases Solution,ADA,113367,https://app.ideascaleapp.eu/t/UCNZfde,57,37,32,64.91%,86.49%,4.33,4.05,3.77
Fund11,Cardano in Spanish 2,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/11/cardano-open-ecosystem/cardano-in-spanish-2-0dc3c,4.03,348,43590442,12761295,0,43590442,NO,15000,NOT FUNDED,1389022,Approval Threshold,Cardano Open Ecosystem,ADA,110403,https://app.ideascaleapp.eu/t/UCNZep3,75,56,42,74.67%,75.00%,4.05,4.07,3.96
Fund11,Cardano India Developers Community Hub,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/11/cardano-open-ecosystem/cardano-india-developers-community-hub,4.2,298,64769730,11859813,0,64769730,YES,97900,FUNDED,5241542,,Cardano Open Ecosystem,ADA,111485,https://app.ideascaleapp.eu/t/UCNZe7n,63,44,33,69.84%,75.00%,4.22,4.2,4.19
Fund11,Cardano Information Center in Japan with a restaurant.,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/11/cardano-open-ecosystem/cardano-information-center-in-japan-with-a-restaurant,3.1,395,111580967,97085740,0,111580967,YES,200000,FUNDED,8390787,,Cardano Open Ecosystem,ADA,113490,https://app.ideascaleapp.eu/t/UCNZfff,50,34,34,68.00%,100.00%,3.44,2.97,2.88
Fund11,"Cardano Integration with Klaatoo, a Multicurrency Wallet",Cardano Use Cases: Solution,https://projectcatalyst.io/funds/11/cardano-use-cases-solution/cardano-integration-with-klaatoo-a-multicurrency-wallet,4.04,245,19708935,30793461,0,19708935,NO,136000,NOT FUNDED,31676,Approval Threshold,Cardano Use Cases Solution,ADA,113866,https://app.ideascaleapp.eu/t/UCNZflp,49,39,38,79.59%,97.44%,4.01,4.15,3.96
Fund11,Cardano Interviews: Video and Full text version - 30+ interviews at Cryptotexty media,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/11/cardano-open-ecosystem/cardano-interviews-video-and-full-text-version-30-interviews-at-cryptotexty-media,3.38,205,26590705,16736242,0,26590705,NO,59970,NOT FUNDED,1389022,Approval Threshold,Cardano Open Ecosystem,ADA,112393,https://app.ideascaleapp.eu/t/UCNZfMg,51,37,34,72.55%,91.89%,3.51,3.32,3.3
Fund11,CARDANO LADIES' COLLOQUIUM,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/11/cardano-open-ecosystem/cardano-ladies-colloquium,4.16,233,40512111,17025999,0,40512111,NO,17800,NOT FUNDED,1389022,Approval Threshold,Cardano Open Ecosystem,ADA,114522,https://app.ideascaleapp.eu/t/UCNZfwa,83,67,44,80.72%,65.67%,4.29,4.22,3.98
Fund11,Cardano Literacy Club (CLC),Cardano Open: Ecosystem,https://projectcatalyst.io/funds/11/cardano-open-ecosystem/cardano-literacy-club-clc,3.16,191,23919728,10848205,0,23919728,NO,35000,NOT FUNDED,1389022,Approval Threshold,Cardano Open Ecosystem,ADA,112440,https://app.ideascaleapp.eu/t/UCNZfNR,54,40,37,74.07%,92.50%,3.47,2.99,3.02
Fund11,Cardano Localized Resource Directory for the Ecosystem Architecture,Cardano Use Cases: Concept,https://projectcatalyst.io/funds/11/cardano-use-cases-concept/cardano-localized-resource-directory-for-the-ecosystem-architecture,3.67,288,32409184,17054579,0,32409184,NO,84400,NOT FUNDED,947140,Approval Threshold,Cardano Use Cases Concept,ADA,113449,https://app.ideascaleapp.eu/t/UCNZfez,54,38,36,70.37%,94.74%,3.84,3.58,3.59
Fund11,Cardano Media - All-in-one Influencers on Cardano Network,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/11/cardano-open-ecosystem/cardano-media-all-in-one-influencers-on-cardano-network,3.49,206,36881516,10343350,0,36881516,NO,19500,NOT FUNDED,1389022,Approval Threshold,Cardano Open Ecosystem,ADA,114105,https://app.ideascaleapp.eu/t/UCNZfpk,61,43,37,70.49%,86.05%,3.6,3.61,3.27
Fund11,Cardano Mendix plug-in by the Landano team,Cardano Open: Developers,https://projectcatalyst.io/funds/11/cardano-open-developers/cardano-mendix-plug-in-by-the-landano-team,4.26,291,57954518,15775217,0,57954518,YES,200000,FUNDED,1069003,,Cardano Open Developers,ADA,112624,https://app.ideascaleapp.eu/t/UCNZfQS,58,40,35,68.97%,87.50%,4.31,4.36,4.11
Fund11,Cardano Middle East & North Africa,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/11/cardano-open-ecosystem/cardano-middle-east-and-north-africa-10ddb,3.77,275,55505213,8243792,0,55505213,YES,15000,FUNDED,3449070,,Cardano Open Ecosystem,ADA,111583,https://app.ideascaleapp.eu/t/UCNZe9O,55,41,39,74.55%,95.12%,4.08,3.45,3.77
Fund11,Cardano Multilingual Education Online Comic Book,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/11/cardano-open-ecosystem/cardano-multilingual-education-online-comic-book,4.08,239,26975850,14511104,0,26975850,NO,24013,NOT FUNDED,1389022,Approval Threshold,Cardano Open Ecosystem,ADA,109977,https://app.ideascaleapp.eu/t/UCNZei4,196,141,40,71.94%,28.37%,4.11,4.05,4.09
Fund11,Cardano Native Token Extension: Programmable Tokens,Cardano Open: Developers,https://projectcatalyst.io/funds/11/cardano-open-developers/cardano-native-token-extension-programmable-tokens,4.04,407,159095926,13617730,0,159095926,YES,200000,FUNDED,7862088,,Cardano Open Developers,ADA,114288,https://app.ideascaleapp.eu/t/UCNZfsk,53,40,36,75.47%,90.00%,4.25,4.02,3.84
Fund11,"Cardano NFT Licenses: First part, deployed licenses to Arweave",Cardano Open: Developers,https://projectcatalyst.io/funds/11/cardano-open-developers/cardano-nft-licenses-first-part-deployed-licenses-to-arweave,3.68,250,21869072,19832858,0,21869072,NO,47987,NOT FUNDED,8153,Approval Threshold,Cardano Open Developers,ADA,111440,https://app.ideascaleapp.eu/t/UCNZe63,56,36,33,64.29%,91.67%,3.99,3.66,3.4
Fund11,Cardano Node API: a Cardano Node companion written in Go,Cardano Use Cases: Solution,https://projectcatalyst.io/funds/11/cardano-use-cases-solution/cardano-node-api-a-cardano-node-companion-written-in-go,4.1,525,111554081,16951089,0,111554081,YES,185000,FUNDED,464529,,Cardano Use Cases Solution,ADA,110379,https://app.ideascaleapp.eu/t/UCNZepf,68,50,38,73.53%,76.00%,4.2,4.26,3.84
Fund11,Cardano Offline Raspberry pi Multi-User Network Node,Cardano Use Cases: Concept,https://projectcatalyst.io/funds/11/cardano-use-cases-concept/cardano-offline-raspberry-pi-multi-user-network-node,3.48,355,43014399,18390579,0,43014399,NO,100000,NOT FUNDED,947140,Approval Threshold,Cardano Use Cases Concept,ADA,114404,https://app.ideascaleapp.eu/t/UCNZfue,43,29,27,67.44%,93.10%,4.01,3.4,3.04
Fund11,"Cardano on Apple Vision Pro with Wallet, NFTs Gallery, 3D moments",Cardano Use Cases: Product,https://projectcatalyst.io/funds/11/cardano-use-cases-product/cardano-on-apple-vision-pro-with-wallet-nfts-gallery-3d-moments,3.56,421,46548488,31663240,0,46548488,YES,350000,NOT FUNDED,27529,Over Budget,Cardano Use Cases Product,ADA,113132,https://app.ideascaleapp.eu/t/UCNZfYn,55,40,34,72.73%,85.00%,3.68,3.75,3.25
Fund11,Cardano on BigQuery: scalably querying Cardano's authenticated blockchain data on BigQuery,Cardano Open: Developers,https://projectcatalyst.io/funds/11/cardano-open-developers/cardano-on-bigquery-scalably-querying-cardanos-authenticated-blockchain-data-on-bigquery-e9982,3.77,261,41898573,17966716,0,41898573,NO,80000,NOT FUNDED,8153,Approval Threshold,Cardano Open Developers,ADA,113276,https://app.ideascaleapp.eu/t/UCNZfb9,44,32,30,72.73%,93.75%,3.89,3.77,3.65
Fund11,"Cardano Onboarding Campaign at larger crypto events, and multiples local education events.",Cardano Open: Ecosystem,https://projectcatalyst.io/funds/11/cardano-open-ecosystem/cardano-onboarding-campaign-at-larger-crypto-events-and-multiples-local-education-events,2.8,369,137060471,19514134,0,137060471,YES,200000,FUNDED,9138937,,Cardano Open Ecosystem,ADA,113333,https://app.ideascaleapp.eu/t/UCNZfc5,49,34,33,69.39%,97.06%,3.54,2.61,2.26
Fund11,Cardano Onboarding Mekong Delta Region Universities in Vietnam,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/11/cardano-open-ecosystem/cardano-onboarding-mekong-delta-region-universities-in-vietnam,3.84,243,35929924,11199046,0,35929924,NO,76500,NOT FUNDED,1389022,Approval Threshold,Cardano Open Ecosystem,ADA,114357,https://app.ideascaleapp.eu/t/UCNZfts,56,45,39,80.36%,86.67%,4.13,3.71,3.67
Fund11,Cardano Online Bootcamp for Non-Developers,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/11/cardano-open-ecosystem/cardano-online-bootcamp-for-non-developers,4.1,244,27857427,14751867,0,27857427,NO,18500,NOT FUNDED,1389022,Approval Threshold,Cardano Open Ecosystem,ADA,113171,https://app.ideascaleapp.eu/t/UCNZfaQ,61,44,40,72.13%,90.91%,4.2,4.02,4.08
Fund11,Cardano Peace Marathon 1.0,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/11/cardano-open-ecosystem/cardano-peace-marathon-10,3.14,219,22657895,20630462,0,22657895,NO,200000,NOT FUNDED,1389022,Approval Threshold,Cardano Open Ecosystem,ADA,113415,https://app.ideascaleapp.eu/t/UCNZfeQ,58,37,37,63.79%,100.00%,3.35,3.24,2.84
Fund11,Cardano Powered Hotel Guest Loyalty System,Cardano Use Cases: Solution,https://projectcatalyst.io/funds/11/cardano-use-cases-solution/cardano-powered-hotel-guest-loyalty-system,3.36,303,37180057,23252603,0,37180057,NO,173600,NOT FUNDED,31676,Approval Threshold,Cardano Use Cases Solution,ADA,114061,https://app.ideascaleapp.eu/t/UCNZfo1,56,42,41,75.00%,97.62%,3.5,3.38,3.2
Fund11,Cardano Privacy Layer: Zero-Knowledge Proof-Based Membership Verification and Anonymous Voting & Signaling PoC.,Cardano Use Cases: Concept,https://projectcatalyst.io/funds/11/cardano-use-cases-concept/cardano-privacy-layer-zero-knowledge-proof-based-membership-verification-and-anonymous-voting-and-signaling-poc,3.71,448,69110543,13192099,0,69110543,YES,100000,FUNDED,4256954,,Cardano Use Cases Concept,ADA,113249,https://app.ideascaleapp.eu/t/UCNZfbi,45,30,29,66.67%,96.67%,4.08,3.72,3.32
Fund11,Cardano Project Catalyst for Ghanaian Tech Hubs,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/11/cardano-open-ecosystem/cardano-project-catalyst-for-ghanaian-tech-hubs,3.79,213,30907916,15700636,0,30907916,NO,50000,NOT FUNDED,1389022,Approval Threshold,Cardano Open Ecosystem,ADA,113834,https://app.ideascaleapp.eu/t/UCNZflI,58,40,37,68.97%,92.50%,3.89,3.78,3.71
Fund11,Cardano Pulse - Researching sentiment and behaviour in the Cardano ecosystem,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/11/cardano-open-ecosystem/cardano-pulse-researching-sentiment-and-behaviour-in-the-cardano-ecosystem,4.13,263,31230582,18236149,0,31230582,NO,123025,NOT FUNDED,1389022,Approval Threshold,Cardano Open Ecosystem,ADA,114155,https://app.ideascaleapp.eu/t/UCNZfqY,58,43,41,74.14%,95.35%,4.12,4.26,4
Fund11,Cardano Real World Asset Launch Pad,Cardano Use Cases: Solution,https://projectcatalyst.io/funds/11/cardano-use-cases-solution/cardano-real-world-asset-launch-pad,4.11,477,166667858,48603677,0,166667858,YES,298784,FUNDED,4110270,,Cardano Use Cases Solution,ADA,114321,https://app.ideascaleapp.eu/t/UCNZftH,64,49,42,76.56%,85.71%,4.19,4.12,4.03
Fund11,Cardano Research and Education Center,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/11/cardano-open-ecosystem/cardano-research-and-education-center,4.12,295,48574688,14451942,0,48574688,YES,200000,FUNDED,2467177,,Cardano Open Ecosystem,ADA,113806,https://app.ideascaleapp.eu/t/UCNZfkq,62,49,40,79.03%,81.63%,4.41,4.08,3.87
Fund11,Cardano Rocks NYC's Central Park SummerStage,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/11/cardano-open-ecosystem/cardano-rocks-nycs-central-park-summerstage,3.59,260,28453969,19263178,0,28453969,NO,200000,NOT FUNDED,1389022,Approval Threshold,Cardano Open Ecosystem,ADA,113572,https://app.ideascaleapp.eu/t/UCNZfg0,56,38,37,67.86%,97.37%,3.98,3.52,3.26
Fund11,Cardano Search - The Intuitive Explorer,Cardano Use Cases: Solution,https://projectcatalyst.io/funds/11/cardano-use-cases-solution/cardano-search-the-intuitive-explorer,4.12,290,38100884,27570132,0,38100884,NO,248000,NOT FUNDED,31676,Approval Threshold,Cardano Use Cases Solution,ADA,112352,https://app.ideascaleapp.eu/t/UCNZfL0,67,53,38,79.10%,71.70%,4.23,4.2,3.94
Fund11,Cardano Smart: A.I. assistant for documentation and on-chain/off-chain development,Cardano Open: Developers,https://projectcatalyst.io/funds/11/cardano-open-developers/cardano-smart-ai-assistant-for-documentation-and-on-chainoff-chain-development,3.56,319,61769073,24754893,0,61769073,YES,170000,FUNDED,1588741,,Cardano Open Developers,ADA,112466,https://app.ideascaleapp.eu/t/UCNZfNs,50,35,34,70.00%,97.14%,3.95,3.44,3.28
Fund11,Cardano Solution Architects Training Initiative,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/11/cardano-open-ecosystem/cardano-solution-architects-training-initiative,4.08,243,36630682,7045668,0,36630682,NO,80000,NOT FUNDED,1389022,Approval Threshold,Cardano Open Ecosystem,ADA,113743,https://app.ideascaleapp.eu/t/UCNZfjo,47,31,28,65.96%,90.32%,4.21,4.03,4.01
Fund11,Cardano Solutions to Property Industry Problems,Cardano Use Cases: Concept,https://projectcatalyst.io/funds/11/cardano-use-cases-concept/cardano-solutions-to-property-industry-problems,4.14,412,95492534,9869231,0,95492534,YES,63000,FUNDED,5885645,,Cardano Use Cases Concept,ADA,112087,https://app.ideascaleapp.eu/t/UCNZfHf,52,36,29,69.23%,80.56%,4.22,4.11,4.08
Fund11,Cardano Stake Pool Owners (SPOs) Behavior - Academic Research,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/11/cardano-open-ecosystem/cardano-stake-pool-owners-spos-behavior-academic-research,3.7,234,42859330,20585913,0,42859330,NO,44200,NOT FUNDED,1389022,Approval Threshold,Cardano Open Ecosystem,ADA,111044,https://app.ideascaleapp.eu/t/UCNZe0Y,56,38,34,67.86%,89.47%,3.58,3.98,3.55
Fund11,Cardano Standardized Supply Chains Library,Cardano Open: Developers,https://projectcatalyst.io/funds/11/cardano-open-developers/cardano-standardized-supply-chains-library,3.69,436,218554383,18412044,0,218554383,YES,187041,FUNDED,9904233,,Cardano Open Developers,ADA,113685,https://app.ideascaleapp.eu/t/UCNZfir,49,39,38,79.59%,97.44%,3.96,3.34,3.76
Fund11,Cardano Students Community in Ethiopia.,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/11/cardano-open-ecosystem/cardano-students-community-in-ethiopia,4.01,259,31372080,13706284,0,31372080,NO,57900,NOT FUNDED,1389022,Approval Threshold,Cardano Open Ecosystem,ADA,112455,https://app.ideascaleapp.eu/t/UCNZfNh,55,38,33,69.09%,86.84%,4.19,4.15,3.68
Fund11,Cardano Summit 2025. Welcome to Africa :),Cardano Open: Ecosystem,https://projectcatalyst.io/funds/11/cardano-open-ecosystem/cardano-summit-2025-welcome-to-africa,4.04,319,66336460,16143518,0,66336460,YES,156250,FUNDED,5371442,,Cardano Open Ecosystem,ADA,110763,https://app.ideascaleapp.eu/t/UCNZevx,59,44,37,74.58%,84.09%,4.32,3.99,3.82
Fund11,Cardano Synergy Hub: Cultivating Innovative Concepts for the Future,Cardano Use Cases: Concept,https://projectcatalyst.io/funds/11/cardano-use-cases-concept/cardano-synergy-hub-cultivating-innovative-concepts-for-the-future,2.73,276,23590936,16146790,0,23590936,NO,80000,NOT FUNDED,947140,Approval Threshold,Cardano Use Cases Concept,ADA,113997,https://app.ideascaleapp.eu/t/UCNZfny,56,38,33,67.86%,86.84%,3.11,2.48,2.61
Fund11,Cardano Talk: Create online conversations about Cardano ecosystems,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/11/cardano-open-ecosystem/cardano-talk-create-online-conversations-about-cardano-ecosystems,3.18,205,22359135,14044477,0,22359135,NO,20000,NOT FUNDED,1389022,Approval Threshold,Cardano Open Ecosystem,ADA,112035,https://app.ideascaleapp.eu/t/UCNZfGo,54,37,34,68.52%,91.89%,3.33,3.04,3.18
Fund11,Cardano Techmarket Care - an Eco Friendly E-waste management,Cardano Use Cases: Concept,https://projectcatalyst.io/funds/11/cardano-use-cases-concept/cardano-techmarket-care-an-eco-friendly-e-waste-management-5b09c,3.6,291,32661629,17149386,0,32661629,NO,54500,NOT FUNDED,947140,Approval Threshold,Cardano Use Cases Concept,ADA,111038,https://app.ideascaleapp.eu/t/UCNZe0S,61,40,37,65.57%,92.50%,3.95,3.43,3.43
Fund11,Cardano Token Engineering Lab - Understanding and leveraging token design to grow Cardano,Cardano Use Cases: Concept,https://projectcatalyst.io/funds/11/cardano-use-cases-concept/cardano-token-engineering-lab-understanding-and-leveraging-token-design-to-grow-cardano,4.06,304,55248591,12307963,0,55248591,YES,20000,FUNDED,2796264,,Cardano Use Cases Concept,ADA,113992,https://app.ideascaleapp.eu/t/UCNZfnt,54,35,35,64.81%,100.00%,4.06,4.09,4.03
